Country/Region,pop2020,area,Density,GrowthRate,WorldPercentage,rank,pop2019,pop2050,pop2030,pop2015,pop2010,pop2000,pop1990,pop1980,pop1970
Afghanistan,38928.346,652230,59.685,1.0233,0.005,37,38041.754,64682.974,48093.578,34413.603,29185.507,20779.953,12412.308,13356.511,11173.642
Albania,2877.797,28748,100.1043,0.9989,0.0004,140,2880.917,2424.061,2786.974,2890.513,2948.023,3129.243,3286.073,2682.69,2150.707
Algeria,43851.044,2381741,18.4113,1.0185,0.0056,33,43053.054,60923.386,50360.749,39728.025,35977.455,31042.235,25758.869,19221.665,14464.985
Andorra,77.265,468,165.0962,1.0016,0,202,77.142,76.118,77.925,78.011,84.449,65.39,54.509,36.067,24.276
Angola,32866.272,1246700,26.3626,1.0327,0.0042,44,31825.295,77420.346,44834.712,27884.381,23356.246,16395.473,11848.386,8341.289,5890.365
Anguilla,15.003,91,164.8681,1.009,0,222,14.869,16.517,15.914,14.279,13.438,11.252,8.899,7.285,6.771
Antigua and Barbuda,97.929,442,221.5588,1.0084,0,200,97.118,110.896,104.864,93.566,88.028,76.016,62.528,61.865,64.177
Argentina,45195.774,2780400,16.2551,1.0093,0.0058,32,44780.677,54867.256,49056.162,43075.416,40895.752,36870.787,32618.651,27896.528,23880.561
Armenia,2963.243,29743,99.6282,1.0019,0.0004,137,2957.731,2816.112,2967.005,2925.553,2877.319,3069.591,3538.171,3099.754,2525.068
Aruba,106.766,180,593.1444,1.0043,0,196,106.314,108.716,110.247,104.341,101.669,90.853,62.149,60.096,59.063
Australia,25499.884,7692024,3.3151,1.0118,0.0033,55,25203.198,32814.113,28177.481,23932.502,22154.679,18991.431,16960.597,14588.405,12793.034
Austria,9006.398,83871,107.3839,1.0057,0.0012,97,8955.102,9130.699,9175.689,8678.66,8409.949,8069.276,7723.949,7609.752,7516.239
Azerbaijan,10139.177,86600,117.0806,1.0091,0.0013,90,10047.718,11064.999,10739.732,9622.745,9032.461,8122.741,7242.761,6150.733,5180.023
Bahamas,393.244,13943,28.2037,1.0097,0.0001,178,389.482,463.333,426.813,374.206,354.942,298.051,256.223,210.591,169.377
Bahrain,1701.575,765,2224.281,1.0368,0.0002,152,1641.172,2316.049,2013.416,1371.851,1240.86,664.611,495.931,359.888,212.605
Bangladesh,164689.383,147570,1116.0086,1.0101,0.0211,8,163046.161,192567.778,178993.869,156256.276,147575.43,127657.854,103171.956,79639.491,64232.482
Barbados,287.375,430,668.314,1.0012,0,183,287.025,277.011,289.444,285.324,282.131,271.515,260.936,252.394,238.896
Belarus,9449.323,207600,45.517,0.9997,0.0012,96,9452.411,8634.225,9264.784,9439.423,9420.574,9871.632,10151.134,9569.847,8913.552
Belgium,11589.623,30528,379.6391,1.0044,0.0015,81,11539.328,12220.765,11903.75,11287.94,10938.739,10282.033,10006.544,9868.995,9632.18
Belize,397.628,22966,17.3138,1.0186,0.0001,177,390.353,571.042,467.633,360.933,322.464,247.315,187.552,144.155,122.182
