Country/Region,Under-5s,5-14 years,15-24 years,25-64 years,65+ years
Sint Maarten,,,,,
Slovakia,0.052453267,0.100382438,0.120244487,0.586346855,0.140572954
Slovenia,0.052523921,0.094572072,0.0977483,0.574808607,0.180347101
Somalia,0.183668846,0.282997016,0.198921868,0.307540935,0.026871335
South Africa,0.102435169,0.191017598,0.186221448,0.469513381,0.050812403
South Sudan,0.158425472,0.262417801,0.203642173,0.340815742,0.034698812
Spain,0.046758302,0.102320819,0.093423863,0.568721757,0.188775258
Sri Lanka,0.079318955,0.166431802,0.150602297,0.510657264,0.092989682
St Martin,0.05899631,0.135309868,0.141754992,0.500051064,0.163887766
Sudan,0.151599148,0.263277191,0.201088222,0.349478727,0.034556712
Suriname,0.090777791,0.178638053,0.176264624,0.487521872,0.06679766
Sweden,0.060162963,0.112807771,0.123269523,0.50778225,0.195977494
Switzerland,0.051356113,0.096491621,0.113616856,0.558569595,0.179965814
Syria,0.119431788,0.261484836,0.198135499,0.380545447,0.04040243
Taiwan,0.043621847,0.094054502,0.13324413,0.606485165,0.122594356
Tajikistan,0.136284427,0.214927595,0.200288677,0.415280493,0.033218808
Tanzania,0.174816101,0.277110837,0.193833321,0.323136579,0.031103161
Thailand,0.055985077,0.12393384,0.140530662,0.573903064,0.105647357
Timor-Leste,0.164646081,0.275316948,0.211831484,0.313639979,0.034565508
Togo,0.15671741,0.263585842,0.191385991,0.360418142,0.027892615
Trinidad and Tobago,0.070659191,0.137139988,0.134525459,0.563557465,0.094117898
Tunisia,0.090806793,0.146114559,0.155459083,0.531523345,0.076096221
Turkey,0.086115079,0.169719435,0.165901875,0.500246067,0.078017544
Turks and Caicos Islands,,,,,
Uganda,0.187125752,0.29515156,0.203935248,0.292040652,0.021746789
Ukraine,0.053975413,0.096624112,0.108256304,0.582277024,0.158867146
United Arab Emirates,0.051414078,0.086451266,0.102025255,0.749890816,0.010218584
United Kingdom,0.061821078,0.114025657,0.121630568,0.521307542,0.181215155
Uruguay,0.070160674,0.143988784,0.151426527,0.490077959,0.144346057
US,0.062047029,0.130081574,0.13830838,0.523159583,0.146403434
Uzbekistan,0.103214838,0.177331782,0.193796098,0.483342099,0.042315183
Venezuela,0.095482947,0.186438582,0.177223407,0.478279792,0.062575273
Vietnam,0.08285488,0.148082323,0.16883897,0.532778349,0.067445477
West Bank and Gaza,0.149886208,0.25143066,0.217485359,0.351459526,0.029738248
Western Sahara,0.103780577,0.181370388,0.180410706,0.509022911,0.025415419
Yemen,0.149228456,0.256481755,0.219845352,0.345874179,0.028570259
Zambia,0.170823337,0.282957572,0.205799702,0.315398439,0.025020951
Zimbabwe,0.158801571,0.255904011,0.207010182,0.350048306,0.02823593
